Zone,Ordinance,Description
O,"Reso. No. 9836, adopted 2/25/03","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m. Monday - Saturday, and no vehicle shall be parked for any time between the hours of 6 p.m. and 2 a.m. daily, except by permit on the following streets:
Lincoln Boulevard, 9th, 12th, and Euclid Streets between Wilshire Boulevard and California Avenue
California Avenue between Lincoln Boulevard and 14th Street
 
No vehicle shall be parked adjacent to any curb for more than 2 hours from between the hours of 9 a.m. and 6 p.m. Monday - Saturday, and for more than 2 hours between 1 p.m. and 6 p.m. Sunday, and no vehicle shall be parked for any time between the hours of 6 p.m. and 2 a.m. daily, except by permit on the following streets:
10th and 11th Streets between Wilshire Boulevard and California Avenue"
P,"Ord. No. 1474CCS, adopted 4/11/89","No vehicle shall be parked adjacent to any curb, except by permit on the following street:
Barnard Way frontage road
 
The annual fee for each permit issued for Preferential Parking Zone P shall be $15.00 for the first permit and $100.00 for each additional permit, or such other fee as may be established from time to time by resolution of the City Council."
Q,"Ord. No. 1541CCS, adopted 9/11/90","No vehicle shall be parked adjacent to any curb, except by permit on the following street:
25th Street between Santa Monica Boulevard and Broadway"
R,"Ord. No. 1560CCS, adopted 1/8/91","No vehicle shall be parked adjacent to any curb between the hours of 7 a.m. and 12 midnight daily, except by permit on the following named and described area:
The area bounded by 20th Street, Wilshire Boulevard, 26th Street and Broadway, excluding 24th and 25th Streets between Santa Monica Boulevard and Broadway, and excluding 26th Street."
S,"Reso. No. 10038, adopted 5/17/05","No vehicle shall be parked adjacent to any curb between the hours of 7 a.m. and 6 p.m. Monday - Friday, except by permit on the following streets:
Franklin Street between Colorado and Nebraska Avenues
Berkeley Street between Colorado and Pennsylvania Avenues
Pennsylvania Avenue between Stanford Court and Centinela Avenue
Nebraska Avenue (north side only) between Berkeley Court and Centinela Avenue"
T,"Ord. No. 1545CCS, adopted 10/2/90; amended 12/18/01 Reso. 9736CCS (Includes UU, originally adopted 9/14/99 by Reso. No. 9438","No vehicle shall be parked adjacent to any curb for more than two hours between the hours of 8 a.m. and 8 p.m. Monday - Friday, except by permit on:
Delaware Avenue, Exposition Boulevard and Virginia Avenue between Yorkshire and Centinela Avenues
Yorkshire, Dorchester and Warwick Avenues between Exposition Boulevard and Virginia Avenue
34th Street between Exposition Boulevard and Delaware Avenue
 
 
No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 8 p.m. Monday - Friday, except by permit on:
Delaware Avenue, Exposition Boulevard and Virginia Avenue between Stewart Street and Yorkshire Avenue, and
Stewart Street between Exposition Boulevard and Virginia Avenue"
U,"Reso. No. 10246, adopted 9/11/07","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 7 a.m. and 6 p.m. Monday - Friday, except by permit on the following streets:
Bay Street between 4th and 6th Streets
6th Street between Bay Street and Ocean Park Boulevards
5th Street between Bay Street and Ocean Park Boulevard
7th Street between Grant Street and Ocean Park Boulevard
Grant Street between Lincoln Boulevard and 6th Street
Pacific Street between Lincoln Boulevard and 4th Street
Strand Street between 7th and 4th Streets
Kensington Road between 7th Street and Beverley Avenue
Hollister Avenue between Beverley and 4th Street
Beverley Avenue between Kensington Road and Ocean Park Boulevard
 
No vehicle shall be parked adjacent to any curb between the hours of 7 a.m. and 6 p.m. Monday - Friday, except by permit on the following streets:
1.     Bay Street between Lincoln Boulevard and 6th Street
2.     6th Street between Pico Boulevard to deadend (eastern portion of 6th Street)"
V,"Ord. No. 1592CCS Sec. 1, adopted 7/23/91","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following streets:
Pine and Maple Streets between Lincoln Boulevard and 10th Street"
W,"Ord. No. 1593CCS Sec. 1, adopted 7/23/91; amended 10/10/00 Reso. No. 9587","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 9 a.m. and 6 p.m., Monday - Friday, except by permit on the following streets:
29th Street between Pearl Street and Ocean Park Boulevard
Pearl Street between 27th Street and 29th Street
 
No vehicle shall be parked adjacent to any curb between the hours of 9 a.m. and 6 p.m., Monday - Friday, except by permit on the following street:
28th Street between Pearl Street and Ocean Park Boulevard"
X,"Ord. No. 1594CCS Sec. 1, adopted 7/23/91; amended 5/27/08 Reso. No. 10296","No vehicle shall be parked adjacent to any curb between the hours of 6 p.m. overnight until 9 a.m. daily or for more than 2 hours between the hours of 9 a.m. and 6 p.m. daily, except by permit on the following streets:

Stanford Street between Wilshire Boulevard and Santa Monica Boulevard
Berkeley Street between Wilshire Boulevard and Santa Monica Boulevard
Franklin Street between Wilshire Boulevard and Santa Monica Boulevard
Arizona Avenue between Yale Street and Centinela Avenue"
Y,"Reso. No. 10574CCS, adopted 4/26/11","No vehicle shall be parked adjacent to any curb for more than 2 hours between the hours of 8 a.m. and 6 p.m. Monday - Friday, except by permit on the streets within the following named and described area:
The area bounded by Ashland Avenue, 23rd Street, Dewey Street, and 16th Street, excluding Ashland Avenue."
Z,"Ord. No. 1640CCS Sec. 1, adopted 8/11/92","No vehicle shall be parked adjacent to any curb between the hours of 8 a.m. and 6 p.m. daily, except by permit on the following street:
Cedar Street between Lincoln Boulevard and 10th Street"
AA,"Ord. No. 1681CCS Sec. 1, adopted 6/1/93","No vehicle shall be parked adjacent to any between the hours of 8 a.m. and 6 p.m. daily, except by permit within the following named and described area:
The area bounded by Kensington Road, 7th Street, Pine Street, and Lincoln Boulevard, excluding Lincoln Boulevard."
BB,"Ord. No. 1682CCS Sec. 1, adopted 6/1/93","No vehicle shall be parked adjacent to any curb for more than 1 hour between the hours of 9 a.m. and 6 p.m. Monday - Friday, except by permit on the following street:
Yale Street between Wilshire Boulevard and Washington Avenue"
