WKT	OBJECTID	Enabled	Subtype	COMPKEY	WATER_	ANGLE	ValveCompkey	HydrantID	ValveID	Group_	Sequence	COMPTYPE
"POINT (-118.4666967728172 34.004394375297153)"	1197		0	45040	26707	259.21572876	96511	1915	6-219			12
"POINT (-118.45741935694407 34.024010960059968)"	1198		0	45856	26769	258.23226928	4929	1634	24-93			12
"POINT (-118.45407900308858 34.020038977375798)"	1199		0	45846	26804	259.28689575	4919	1624	24-100			12
"POINT (-118.45507865470472 34.021221531012912)"	1200		0	45857	26807	261.71795654	4930	1635	24-99			12
"POINT (-118.45310753365207 34.020583430596986)"	1201		0	45843	26913	259.69519043	4916	1621	24-87			12
"POINT (-118.47459961701374 34.014859061610345)"	1202		0	44996	26952	86.19467926	2480	493	7-194			12
"POINT (-118.47373619418958 34.014009771273905)"	1203		0	44995	26999	84.25975036	2479	492	7-200			12
"POINT (-118.47844372802055 34.01704755381634)"	1204		0	96805	27049	267.77545166	96806	1851	7-134A			12
"POINT (-118.51271337604166 34.0245191889464)"	1205		0	45452	27113	279.83981323	4516	1230	1-11			12
"POINT (-118.48591673908655 34.004374953429235)"	1206		0	44750	27148	96.14327239	1402	128	4-183			12
"POINT (-118.47410176306855 34.042427973302921)"	1207		0	45362	27166	181.36585998	3963	1041	21-61			12
"POINT (-118.46264096655177 34.019604370009333)"	1208		0	45927	27205	255.66496276	5206	1734	16-145			12
"POINT (-118.46948385321384 34.009839959742841)"	1209		0	45018	27273	84.3223114	2569	523	6-205			12
"POINT (-118.48251824949301 34.010176029246459)"	1210		0	45625	27325	359.53814697	4698	1403	4-57			12
"POINT (-118.46036239152012 34.02890006961097)"	1211		0	45339	27360	237.99569702	3836	992	23-70			12
"POINT (-118.49493569541546 34.021698806946702)"	1212		0	97711	27410	270.00006103	97712	1916	2-117A			12
"POINT (-118.47388876393131 34.026373539301161)"	1213		0	97758	27421	98.13007354	97759	1917	14-5C			12
"POINT (-118.49331367983645 34.045319970165814)"	1214		0	45778	27426	270.00881958	4851	1556	20-72			12
"POINT (-118.494666289325 34.014401499587358)"	1215		0	45560	27479	79.54364776	4627	1338	3-93			12
"POINT (-118.49698756059304 34.0098409772366)"	1216		0	45891	27494	170.22172546	5058	1675	3-16			12
"POINT (-118.49094039268742 34.010327704680073)"	1217		0	44736	27550	-90	1336	97	4-191			12
"POINT (-118.49906880010933 34.013805523655961)"	1218		0	45540	27603	267.77368164	4607	1318	3-4			12
"POINT (-118.49913694525149 34.029104270423751)"	1219		0	97999	27618	179.4838562	97998	1706	10-151A			12
"POINT (-118.48838766651667 34.029723355463339)"	1220		0	44964	27619	0.38524496	98000	429	12-78			12
"POINT (-118.46076411724385 34.011037240417224)"	1221		0	84449	27647	79.11454772	84448	720	15-83A			12
"POINT (-118.48098414911492 34.027763387915563)"	1222		0	98020	27684	0.00064871	98019	637	13-71			12
"POINT (-118.48566223022689 34.007932991369572)"	1223		0	45600	27686	264.74761962	4672	1378	4-106			12
"POINT (-118.48518780294516 34.007472849048249)"	1224		0	98021	27687	266.34594726	98022	1810	13-143			12
"POINT (-118.49234821647489 34.018585773185691)"	1225		0	98026	27694	359.85968017	1792	227	8-30			12
"POINT (-118.48905963636332 34.013418703032293)"	1226		0	98028	27695	168.79222106	98027	226	4-6A			12
"POINT (-118.49754942129455 34.018351250723768)"	1227		0	45887	27705	269.49691772	5051	1669	3-138			12
"POINT (-118.50304011021899 34.040679046462202)"	1228		0	98089	27753	181.63656616	98088	383	11-25A			12
"POINT (-118.48837389109167 34.013777499004497)"	1229		0	44821	27785	182.28164672	1784	228	4-5			12
"POINT (-118.49845065902269 34.017635226846458)"	1230		0	44724	27837	90	1260	73	3-105			12
"POINT (-118.48100710123113 34.045481618952387)"	1231		0	45267	27879	314.40609741	3616	889	21-89			12
"POINT (-118.46943532036042 34.039949525589449)"	1232		0	45444	27900	179.93193054	4504	1222	22-1			12
"POINT (-118.46466738288849 34.028057948513926)"	1233		0	45742	27914	97.38198852	4815	1520	17-70			12
"POINT (-118.49308251574364 34.047803644188086)"	1234		0	45768	27926	345.66644287	4841	1546	20-56			12
"POINT (-118.47042823492419 34.026276772591224)"	1235		0	45921	27949	90	5195	1727	17-147B			12
"POINT (-118.44900531794893 34.02104759779796)"	1236		0	45829	27990	169.44102478	4902	1607	24-136			12
"POINT (-118.44958112972878 34.021711534976212)"	1237		0	45828	27994	260.14819335	4901	1606	24-138			12
"POINT (-118.45115703132328 34.023658331751925)"	1238		0	45819	28026	259.25112915	4892	1597	24-45			12
"POINT (-118.46147251516673 34.020040955864701)"	1239		0	45953	28045	259.84008789	5273	1765	16-146			12
"POINT (-118.45007738025845 34.02237846823396)"	1240		0	45811	28051	260.01315307	4884	1589	24-50			12
"POINT (-118.4695821267059 34.003986980521837)"	1241		0	44894	28079	349.20654296	2015	329	6-126			12
"POINT (-118.48336676445435 34.002851076938029)"	1242		0	45700	28086	266.39779663	4773	1478	5-82			12
"POINT (-118.48243833573412 33.999752715489414)"	1243		0	45671	28169	266.94049072	4744	1449	5-41			12
"POINT (-118.491331600489 34.047760681472916)"	1244		0	45771	28285	270.60934448	4844	1549	20-58			12
"POINT (-118.49073837512736 34.011627823087409)"	1245		0	44738	28319	248.60656738	1338	99	4-149			12
"POINT (-118.45049505505925 34.021809554519422)"	1246		0	45808	28335	350.53359985	4881	1586	24-52			12
"POINT (-118.4746652883409 34.025701584359176)"	1247		0	45243	28350	89.24213409	3457	847	14-5			12
"POINT (-118.49488063433778 34.009538537823531)"	1248		0	45422	28447	1.379e-005	4263	1157	4-293			12
"POINT (-118.46662256997107 34.009117266317638)"	1249		0	45430	28485	243.95024108	4298	1174	15-16			12
"POINT (-118.46655036344957 34.029876868356482)"	1250	1	1	99622	28488	90	1	PM3	 			12
"POINT (-118.46756293665163 34.029654954753596)"	1251	1	1	99621	28489	90	1	PM2	 			12
"POINT (-118.46878902455109 34.029386234739285)"	1252	1	1	99620	28490	90	1	PM1	 			12
"POINT (-118.46590656007142 34.027897284040613)"	1253		0	45963	28491	59.30783081	5472	1784	17-140			12
"POINT (-118.47539327887438 34.024851368653131)"	1254		0	45909	28492	90	5142	1709	14-6C			12
"POINT (-118.47604854396961 34.025416670145503)"	1255		0	45910	28493	90	5143	1710	14-6			12
"POINT (-118.47271450073875 34.027117727460983)"	1256		0	45922	28494	159.67599487	5196	1728	17-157			12
"POINT (-118.47882326226713 34.022781130509237)"	1257		0	45125	28495	270	2887	660	14-19A			12
